image_name;manual_count;script_own;script_simple;script_watershed;script_own_sparse;script_SarDist;YOLO_count
img_01;113;41;61;98;88;;
img_02;53;32;43;57;49;;
img_03;84;35;50;73;63;;
img_04;57;36;46;55;51;;
img_05;49;32;42;47;43;;
img_06;88;51;58;70;65;;
img_07;81;45;58;73;64;;
img_08;106;47;60;90;81;;
img_09;55;35;45;53;51;;
img_10;76;59;73;77;72;;
img_11;65;46;55;63;55;;
img_12;81;60;79;82;78;;
img_13;90;44;60;83;75;;
img_14;72;51;63;72;68;;
img_15;55;35;45;53;51;;
